wineries-springfield-wines-miss-lucy-sauvignon-blanc-semillon-pinot-gris-2015;Springfield Estate Miss Lucy White Blend;Robertson;2015;--
wineries-taylors-port-wines-vintage-port-1985;Taylor's;Vintage Port;1985;--
wineries-goose-wines-expression-2008;The Goose Expression;Coastal Region;2008;--
wineries-klein-constantia-estate-wines-metis-sauvignon-blanc-2013;Klein  Metis Sauvignon;Constantia;2013;Blanc
wineries-pt-quinta-do-crasto-wines-vinho-tinto-tinta-roriz-barroca-touriga-franca-nacional-2011;Quinta do Crasto Touriga Nacional;Douro;2011;--
wineries-cederberg-wines-sauvignon-blanc-2015;Cederberg Sauvignon;Citrusdal Mountain;2015;Blanc
wineries-pt-quinta-do-crasto-wines-tinto-roriz-2011;Quinta do Crasto Tinta Roriz;Douro;2011;--
wineries-delaire-graff-wines-chardonnay-south-africa-banghoek-reserve-graff-2015;Delaire Graff Chardonnay Banghoek Reserve;Stellenbosch;2015;--
wineries-adega-cartuxa-wines-pera-manca-red-2011;Cartuxa Pêra-Manca Tinto;Alentejo;2011;--
wineries-neil-ellis-wines-stellenbosch-cabernet-sauvignon-2012;Neil Ellis Cabernet Sauvignon;Stellenbosch;2012;--
wineries-quinta-do-vale-meao-wines-meandro-douro-2014;Quinta do Vale Meão Meandro  Tinto;Douro;2014;--
wineries-oldenburg-wines-stellenbosch-syrah-2012;Oldenburg  Syrah;Stellenbosch;2012;--
wineries-ferreira-wines-dona-antonia-reserva-branco-porto-8888;Ferreira Dona Antonia Reserva Branco;Porto;--;--
wineries-vergelegen-wine-estate-wines-3099661-stellenbosch-2011;Vergelegen V Red;Stellenbosch;2011;--
wineries-maynards-wines-20-years-old-aged-tawny-porto-8888;Maynard's 20 Years Old o;Aged Tawny Port;--;--
wineries-the-sadie-family-wines-pty-ltd-wines-skerpioen-2013;The Sadie Family Die Ouwingerdreeks Skerpioen;Swartland;2013;--
wineries-the-sadie-family-wines-pty-ltd-wines-columella-liberatus-castro-bonae-spei-2012;The Sadie Family Columella;Swartland;2012;--
wineries-the-sadie-family-wines-pty-ltd-wines-columella-liberatus-castro-bonae-spei-2011;The Sadie Family Columella;Swartland;2011;--
wineries-quinta-do-vallado-wines-vallado-douro-touriga-nacional-2014;Quinta do Vallado Touriga Nacional;Douro;2014;--
wineries-kleine-zalze-wines-reserve-chenin-blanc-2015;Kleine Zalze Chenin  Reserve Zalze Range;Coastal Region;2015;Blanc
wineries-adega-cartuxa-wines-cartuxa-colheita-doc-alentejo-evora-brancowhite-2015;Cartuxa Évora Colheita Branco;Alentejano;2015;--
